age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
23,Private,214425,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,34,0,46,United-States,>50K
67,Private,195969,HS-grad,9,Widowed,Sales,Not-in-family,White,Male,27,0,49,United-States,<=50K
55,Private,306173,7th-8th,4,Separated,Priv-house-serv,Not-in-family,White,Female,3,0,40,United-States,<=50K
24,Private,127795,5th-6th,4,Never-married,Machine-op-inspct,Not-in-family,Other,Male,25,0,33,Trinadad&Tobago,<=50K
50,Self-emp-not-inc,166018,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,11,0,31,United-States,<=50K
34,Self-emp-inc,251740,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,24,0,50,Greece,>50K
44,Self-emp-not-inc,129007,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,32,0,40,United-States,<=50K
24,Private,114193,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,29,0,49,United-States,<=50K
62,State-gov,103535,Masters,7,Married-civ-spouse,Prof-specialty,Husband,White,Male,19,0,29,United-States,<=50K
17,Private,42246,Assoc-voc,11,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K
43,Private,251159,1st-4th,4,Never-married,Machine-op-inspct,Own-child,White,Female,27,0,39,United-States,<=50K
41,Private,218244,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,18,0,40,Mexico,<=50K
29,Self-emp-not-inc,40047,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,23,0,40,United-States,>50K
17,?,100542,Masters,5,Married-AF-spouse,?,Not-in-family,White,Female,21,0,35,United-States,>50K
22,?,249679,11th,7,Never-married,?,Other-relative,White,Female,0,0,40,United-States,<=50K
44,Private,271349,Some-college,10,Divorced,Tech-support,Not-in-family,White,Female,0,0,33,United-States,<=50K
26,Private,131571,12th,13,Never-married,Sales,Not-in-family,White,Male,12,1,45,United-States,<=50K
26,Private,180947,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,28,0,50,United-States,>50K
30,Local-gov,127508,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,10,0,40,United-States,<=50K
27,Private,187210,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Male,7,0,40,Taiwan,<=50K
37,Local-gov,37570,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,1,40,United-States,<=50K
64,Private,152998,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
66,Federal-gov,99158,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,16,0,50,United-States,>50K
23,Local-gov,193892,Some-college,10,Never-married,Prof-specialty,Other-relative,White,Male,7,1830,40,United-States,>50K
71,Private,113564,HS-grad,9,Widowed,Machine-op-inspct,Not-in-family,White,Female,34,0,33,United-States,<=50K
26,Private,176872,Some-college,10,Never-married,Sales,Own-child,White,Male,30,0,50,United-States,<=50K
65,Private,138125,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,Amer-Indian-Eskimo,Male,0,0,49,United-States,<=50K
23,Self-emp-inc,165407,Doctorate,16,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K
29,Private,237801,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Female,0,1,51,United-States,<=50K
28,Private,342736,HS-grad,10,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,49,United-States,<=50K
27,Private,109360,Some-college,10,Never-married,Farming-fishing,Own-child,Black,Male,21,0,50,United-States,<=50K
23,Private,194217,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,1,1,40,Canada,<=50K
59,Private,214977,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,19,0,40,United-States,>50K
58,?,53521,11th,7,Never-married,?,Other-relative,White,Female,3580,0,14,United-States,<=50K
49,Local-gov,212679,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7950,1,40,United-States,>50K
44,Never-worked,149429,11th,7,Married-civ-spouse,Farming-fishing,Husband,Black,Male,3,1,40,United-States,<=50K
58,Self-emp-not-inc,179293,7th-8th,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,28,0,32,United-States,<=50K
60,Local-gov,116435,10th,7,Never-married,Adm-clerical,Unmarried,White,Female,26,0,40,United-States,<=50K
79,Private,103176,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,14,0,18,United-States,<=50K
53,Self-emp-not-inc,110483,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,Black,Female,7,0,40,United-States,<=50K
54,Private,93158,HS-grad,9,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,21,United-States,<=50K
22,Private,465321,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,22,0,50,United-States,<=50K
41,Self-emp-not-inc,195441,HS-grad,9,Married-civ-spouse,Adm-clerical,Unmarried,White,Female,17,0,40,United-States,<=50K
65,Self-emp-not-inc,76941,Assoc-acdm,12,Never-married,Machine-op-inspct,Not-in-family,White,Female,31,0,40,United-States,<=50K
36,Self-emp-not-inc,152407,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,18,0,40,France,<=50K
29,Private,229437,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,30,0,40,United-States,<=50K
18,?,101564,HS-grad,9,Married-AF-spouse,?,Other-relative,White,Male,2,0,19,United-States,<=50K
26,Private,352717,Bachelors,13,Never-married,Farming-fishing,Not-in-family,White,Female,0,0,39,United-States,<=50K
