age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
26,Private,262599,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,1,0,40,United-States,<=50K
42,Private,142859,Prof-school,15,Separated,?,Unmarried,White,Female,1,0,40,United-States,<=50K
38,Private,162489,Assoc-voc,11,Separated,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,1,0,40,United-States,<=50K
21,Private,143778,Assoc-voc,11,Never-married,Other-service,Not-in-family,Black,Male,0,0,40,United-States,<=50K
21,Private,182596,HS-grad,9,Never-married,Other-service,Own-child,White,Male,5,0,13,United-States,<=50K
46,Private,266532,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
55,Self-emp-not-inc,73893,Prof-school,15,Married-civ-spouse,Sales,Husband,White,Male,0,1,56,United-States,<=50K
34,Private,225873,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,4,0,40,United-States,>50K
40,Private,205548,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,>50K
38,Private,189982,HS-grad,9,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Female,0,0,40,Philippines,>50K
32,Private,98977,Some-college,10,Separated,Exec-managerial,Not-in-family,White,Female,4333,0,40,United-States,<=50K
19,Private,256014,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,1,0,29,United-States,<=50K
34,Private,140273,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,3,0,40,United-States,>50K
37,Local-gov,102179,HS-grad,9,Never-married,Protective-serv,Not-in-family,Black,Male,1,0,40,United-States,<=50K
18,Private,88745,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
30,Private,385283,HS-grad,9,Separated,Machine-op-inspct,Unmarried,White,Male,4,0,40,United-States,<=50K
29,Private,79998,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
31,Self-emp-not-inc,106835,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,3,0,40,United-States,<=50K
26,Private,88587,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,35,United-States,<=50K
62,Local-gov,112645,HS-grad,9,Divorced,Protective-serv,Not-in-family,Black,Male,0,0,40,United-States,<=50K
27,Self-emp-not-inc,179950,Some-college,13,Never-married,Sales,Not-in-family,White,Male,2235,0,50,United-States,<=50K
37,Private,307283,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
33,Local-gov,237507,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,2,1,40,United-States,<=50K
38,?,91834,11th,8,Never-married,?,Not-in-family,Asian-Pac-Islander,Male,2,0,40,United-States,<=50K
38,Private,85952,HS-grad,9,Divorced,Transport-moving,Not-in-family,Black,Male,0,0,40,United-States,<=50K
65,Private,129121,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,2,0,33,United-States,<=50K
24,Local-gov,88387,Some-college,10,Married-civ-spouse,?,Wife,White,Female,0,0,40,United-States,<=50K
19,Private,320048,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Male,4,0,40,United-States,<=50K
29,Private,65754,11th,11,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,5,0,40,Philippines,<=50K
26,Private,204095,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
45,Private,298024,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
21,Private,120353,7th-8th,3,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,1,40,United-States,<=50K
56,Private,133689,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,1,0,40,United-States,>50K
22,?,324295,Some-college,10,Never-married,?,Not-in-family,Black,Female,0,1,40,United-States,<=50K
34,Private,133296,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0,50,United-States,>50K
29,Private,292926,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,50,United-States,<=50K
49,Private,127077,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,2,0,40,United-States,>50K
53,Self-emp-not-inc,59355,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,34,United-States,<=50K
74,Local-gov,218065,Assoc-voc,11,Separated,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K
28,?,86000,Some-college,10,Never-married,?,Not-in-family,White,Female,0,0,51,United-States,<=50K
34,Private,344253,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,2,0,40,United-States,<=50K
25,Private,116429,Assoc-voc,11,Never-married,?,Own-child,White,Female,0,0,40,United-States,<=50K
62,Local-gov,181624,HS-grad,9,Widowed,Machine-op-inspct,Not-in-family,White,Male,2,0,40,United-States,<=50K
39,Private,86762,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,1,0,49,United-States,<=50K
47,Private,147884,Masters,14,Divorced,Sales,Not-in-family,White,Male,15074,0,67,United-States,>50K
30,Private,189871,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
44,Local-gov,120615,HS-grad,9,Widowed,Adm-clerical,Unmarried,Black,Female,1,0,40,United-States,<=50K
37,Self-emp-not-inc,142070,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,<=50K
21,Private,284512,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,15,United-States,<=50K
33,Private,207118,HS-grad,9,Separated,Sales,Not-in-family,White,Male,3,0,49,United-States,<=50K
43,Private,208963,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,49,United-States,>50K
57,Local-gov,32990,Bachelors,13,Divorced,?,Not-in-family,White,Male,0,0,40,United-States,<=50K
